Vendor purchase budget by client and month (vendor name only),,,,,,,,,
budget = purchase_budget × (vendor_avg_per_month / sum of client vendor avgs),,,,,,,,,
Client,Plan month,Sales month,Net sales 2025,Purchase budget 60%,Vendor,Delivery day(s),Vendor avg/mo,Share,Budget for vendor
Arco Brookhurst 75,Sep 2026,Sep 2025,199109.26,119465.56,7UP,Friday,1301.85,0.03578646379103135,4275.25
Arco Charleston,Dec 2026,Dec 2025,61044.29,36626.57,Core-Mark,Tuesday,30231.03,0.8566152072779492,31374.88
Arco Charleston,Dec 2026,Dec 2025,61044.29,36626.57,Frito Lay,Wednesday,2509.84,0.07111789151194942,2604.8
Arco Charleston,Dec 2026,Dec 2025,61044.29,36626.57,Red Bull,Wednesday,1770.75,0.05017531252780433,1837.75
Arco Charleston,Dec 2026,Dec 2025,61044.29,36626.57,7UP,Tuesday,779.64,0.02209158868229697,809.14
Arco Charleston,Nov 2026,Nov 2025,62971.02,37782.61,Core-Mark,Tuesday,30231.03,0.8566152072779492,32365.16
Arco Charleston,Nov 2026,Nov 2025,62971.02,37782.61,Frito Lay,Wednesday,2509.84,0.07111789151194942,2687.02
Arco Charleston,Nov 2026,Nov 2025,62971.02,37782.61,Red Bull,Wednesday,1770.75,0.05017531252780433,1895.75
Arco Charleston,Nov 2026,Nov 2025,62971.02,37782.61,7UP,Tuesday,779.64,0.02209158868229697,834.68
Arco Charleston,Oct 2026,Oct 2025,71004.36,42602.62,Core-Mark,Tuesday,30231.03,0.8566152072779492,36494.05
Arco Charleston,Oct 2026,Oct 2025,71004.36,42602.62,Frito Lay,Wednesday,2509.84,0.07111789151194942,3029.81
Arco Charleston,Oct 2026,Oct 2025,71004.36,42602.62,Red Bull,Wednesday,1770.75,0.05017531252780433,2137.6
Arco Charleston,Oct 2026,Oct 2025,71004.36,42602.62,7UP,Tuesday,779.64,0.02209158868229697,941.16
Arco Charleston,Sep 2026,Sep 2025,70480.2,42288.12,Core-Mark,Tuesday,30231.03,0.8566152072779492,36224.65
Arco Charleston,Sep 2026,Sep 2025,70480.2,42288.12,Frito Lay,Wednesday,2509.84,0.07111789151194942,3007.44
Arco Charleston,Sep 2026,Sep 2025,70480.2,42288.12,Red Bull,Wednesday,1770.75,0.05017531252780433,2121.82
Arco Charleston,Sep 2026,Sep 2025,70480.2,42288.12,7UP,Tuesday,779.64,0.02209158868229697,934.21
Arco Db (Diamond Bar),Dec 2026,Dec 2025,115732.69,69439.61,Core-Mark,Tuesday,33676.06,0.4605030709494269,31977.15
Arco Db (Diamond Bar),Dec 2026,Dec 2025,115732.69,69439.61,Harbor,Wednesday,12767.91,0.1745947050992871,12123.79
Arco Db (Diamond Bar),Dec 2026,Dec 2025,115732.69,69439.61,Coke,Friday,6224.7,0.08511962105243007,5910.67
Arco Db (Diamond Bar),Dec 2026,Dec 2025,115732.69,69439.61,Pepsi,Saturday,4980.77,0.06810950808060022,4729.5
Arco Db (Diamond Bar),Dec 2026,Dec 2025,115732.69,69439.61,Frito Lay,Wednesday,4262.8,0.05829163182519622,4047.75
Arco Db (Diamond Bar),Dec 2026,Dec 2025,115732.69,69439.61,Straub,Friday,3952.62,0.05405007736344822,3753.22
Arco Db (Diamond Bar),Dec 2026,Dec 2025,115732.69,69439.61,Red Bull,Thursday,2909.73,0.03978908460887871,2762.94
Arco Db (Diamond Bar),Dec 2026,Dec 2025,115732.69,69439.61,Sunset,Monday,1761.5,0.02408762068595363,1672.63
Arco Db (Diamond Bar),Dec 2026,Dec 2025,115732.69,69439.61,7UP,Wednesday,1321.97,0.01807727046165775,1255.28
Arco Db (Diamond Bar),Dec 2026,Dec 2025,115732.69,69439.61,Bimbo,Wednesday,713.42,0.009755657308982707,677.43
Arco Db (Diamond Bar),Dec 2026,Dec 2025,115732.69,69439.61,NorthStar,Wednesday,557.37,0.007621752564138505,529.25
Arco Db (Diamond Bar),Nov 2026,Nov 2025,111305.45,66783.27,Core-Mark,Tuesday,33676.06,0.4605030709494269,30753.9
Arco Db (Diamond Bar),Nov 2026,Nov 2025,111305.45,66783.27,Harbor,Wednesday,12767.91,0.1745947050992871,11660.01
Arco Db (Diamond Bar),Nov 2026,Nov 2025,111305.45,66783.27,Coke,Friday,6224.7,0.08511962105243007,5684.57
Arco Db (Diamond Bar),Nov 2026,Nov 2025,111305.45,66783.27,Pepsi,Saturday,4980.77,0.06810950808060022,4548.58
Arco Db (Diamond Bar),Nov 2026,Nov 2025,111305.45,66783.27,Frito Lay,Wednesday,4262.8,0.05829163182519622,3892.91
Arco Db (Diamond Bar),Nov 2026,Nov 2025,111305.45,66783.27,Straub,Friday,3952.62,0.05405007736344822,3609.64
Arco Db (Diamond Bar),Nov 2026,Nov 2025,111305.45,66783.27,Red Bull,Thursday,2909.73,0.03978908460887871,2657.25
Arco Db (Diamond Bar),Nov 2026,Nov 2025,111305.45,66783.27,Sunset,Monday,1761.5,0.02408762068595363,1608.65
Arco Db (Diamond Bar),Nov 2026,Nov 2025,111305.45,66783.27,7UP,Wednesday,1321.97,0.01807727046165775,1207.26
Arco Db (Diamond Bar),Nov 2026,Nov 2025,111305.45,66783.27,Bimbo,Wednesday,713.42,0.009755657308982707,651.51
Arco Db (Diamond Bar),Nov 2026,Nov 2025,111305.45,66783.27,NorthStar,Wednesday,557.37,0.007621752564138505,509.01
Arco Db (Diamond Bar),Oct 2026,Oct 2025,132093.98,79256.39,Core-Mark,Tuesday,33676.06,0.4605030709494269,36497.81
Arco Db (Diamond Bar),Oct 2026,Oct 2025,132093.98,79256.39,Harbor,Wednesday,12767.91,0.1745947050992871,13837.75
Arco Db (Diamond Bar),Oct 2026,Oct 2025,132093.98,79256.39,Coke,Friday,6224.7,0.08511962105243007,6746.27
Arco Db (Diamond Bar),Oct 2026,Oct 2025,132093.98,79256.39,Pepsi,Saturday,4980.77,0.06810950808060022,5398.11
Arco Db (Diamond Bar),Oct 2026,Oct 2025,132093.98,79256.39,Frito Lay,Wednesday,4262.8,0.05829163182519622,4619.98
Arco Db (Diamond Bar),Oct 2026,Oct 2025,132093.98,79256.39,Straub,Friday,3952.62,0.05405007736344822,4283.81
Arco Db (Diamond Bar),Oct 2026,Oct 2025,132093.98,79256.39,Red Bull,Thursday,2909.73,0.03978908460887871,3153.54
Arco Db (Diamond Bar),Oct 2026,Oct 2025,132093.98,79256.39,Sunset,Monday,1761.5,0.02408762068595363,1909.1
Arco Db (Diamond Bar),Oct 2026,Oct 2025,132093.98,79256.39,7UP,Wednesday,1321.97,0.01807727046165775,1432.74
Arco Db (Diamond Bar),Oct 2026,Oct 2025,132093.98,79256.39,Bimbo,Wednesday,713.42,0.009755657308982707,773.2
Arco Db (Diamond Bar),Oct 2026,Oct 2025,132093.98,79256.39,NorthStar,Wednesday,557.37,0.007621752564138505,604.07
Arco Db (Diamond Bar),Sep 2026,Sep 2025,127052.46,76231.48,Core-Mark,Tuesday,33676.06,0.4605030709494269,35104.83
Arco Db (Diamond Bar),Sep 2026,Sep 2025,127052.46,76231.48,Harbor,Wednesday,12767.91,0.1745947050992871,13309.61
Arco Db (Diamond Bar),Sep 2026,Sep 2025,127052.46,76231.48,Coke,Friday,6224.7,0.08511962105243007,6488.79
Arco Db (Diamond Bar),Sep 2026,Sep 2025,127052.46,76231.48,Pepsi,Saturday,4980.77,0.06810950808060022,5192.09
Arco Db (Diamond Bar),Sep 2026,Sep 2025,127052.46,76231.48,Frito Lay,Wednesday,4262.8,0.05829163182519622,4443.66
Arco Db (Diamond Bar),Sep 2026,Sep 2025,127052.46,76231.48,Straub,Friday,3952.62,0.05405007736344822,4120.32
Arco Db (Diamond Bar),Sep 2026,Sep 2025,127052.46,76231.48,Red Bull,Thursday,2909.73,0.03978908460887871,3033.18
Arco Db (Diamond Bar),Sep 2026,Sep 2025,127052.46,76231.48,Sunset,Monday,1761.5,0.02408762068595363,1836.23
Arco Db (Diamond Bar),Sep 2026,Sep 2025,127052.46,76231.48,7UP,Wednesday,1321.97,0.01807727046165775,1378.06
Arco Db (Diamond Bar),Sep 2026,Sep 2025,127052.46,76231.48,Bimbo,Wednesday,713.42,0.009755657308982707,743.69
Arco Db (Diamond Bar),Sep 2026,Sep 2025,127052.46,76231.48,NorthStar,Wednesday,557.37,0.007621752564138505,581.02
Arco Flamingo (Koval),Dec 2026,Dec 2025,95090.41,57054.25,Core-Mark,Monday,38216.3,0.8764460638785093,50004.97
Arco Flamingo (Koval),Dec 2026,Dec 2025,95090.41,57054.25,Frito Lay,Thursday,3062.88,0.07024356413708832,4007.69
Arco Flamingo (Koval),Dec 2026,Dec 2025,95090.41,57054.25,Red Bull,Wednesday,1426.06,0.03270501523838223,1865.96
Arco Flamingo (Koval),Dec 2026,Dec 2025,95090.41,57054.25,7UP,Wednesday,898.47,0.02060535674602,1175.62
Arco Flamingo (Koval),Nov 2026,Nov 2025,108186.37,64911.82,Core-Mark,Monday,38216.3,0.8764460638785093,56891.71
Arco Flamingo (Koval),Nov 2026,Nov 2025,108186.37,64911.82,Frito Lay,Thursday,3062.88,0.07024356413708832,4559.64
Arco Flamingo (Koval),Nov 2026,Nov 2025,108186.37,64911.82,Red Bull,Wednesday,1426.06,0.03270501523838223,2122.94
Arco Flamingo (Koval),Nov 2026,Nov 2025,108186.37,64911.82,7UP,Wednesday,898.47,0.02060535674602,1337.53
Arco Flamingo (Koval),Oct 2026,Oct 2025,101329.36,60797.62,Core-Mark,Monday,38216.3,0.8764460638785093,53285.83
Arco Flamingo (Koval),Oct 2026,Oct 2025,101329.36,60797.62,Frito Lay,Thursday,3062.88,0.07024356413708832,4270.64
Arco Flamingo (Koval),Oct 2026,Oct 2025,101329.36,60797.62,Red Bull,Wednesday,1426.06,0.03270501523838223,1988.39
Arco Flamingo (Koval),Oct 2026,Oct 2025,101329.36,60797.62,7UP,Wednesday,898.47,0.02060535674602,1252.76
Arco Flamingo (Koval),Sep 2026,Sep 2025,122744.24,73646.54,Core-Mark,Monday,38216.3,0.8764460638785093,64547.22
Arco Flamingo (Koval),Sep 2026,Sep 2025,122744.24,73646.54,Frito Lay,Thursday,3062.88,0.07024356413708832,5173.2
Arco Flamingo (Koval),Sep 2026,Sep 2025,122744.24,73646.54,Red Bull,Wednesday,1426.06,0.03270501523838223,2408.61
Arco Flamingo (Koval),Sep 2026,Sep 2025,122744.24,73646.54,7UP,Wednesday,898.47,0.02060535674602,1517.51
Arco Garden Grove,Dec 2026,Dec 2025,136904.48,82142.69,Core-Mark,Monday,33083.2,0.807338751025243,66316.98
Arco Garden Grove,Dec 2026,Dec 2025,136904.48,82142.69,Frito Lay,Friday,4449.76,0.1085887604815159,8919.77
